"kinase","logFC","AveExpr","t","P.Value","adj.P.Val","B","kinase_FDR"
"ACVR1C",-1.92808428090835,3.88288857632999,-6.94589724836887,7.63447291392428e-06,0.00194624527355684,4.03886609499481,0.00363400910702796
"PIM1",0.957005131751797,4.49283765869189,6.34968794487868,1.98637706765591e-05,0.00365431946106389,3.12191380732503,0.00419650535309963
"TESK2",-1.44002468664609,2.79471982624228,-6.17684814173018,2.64485631497876e-05,0.00444367423587641,2.84587953517632,0.00419650535309963
"TRIB3",0.944223114642724,6.0023218962589,5.83814226445661,4.6912043799807e-05,0.00648949939230663,2.29164685221402,0.00558253321217703
"ERBB3",-1.51752035663425,5.02362116413883,-5.44171684291292,9.36166199133985e-05,0.00960108380663561,1.62092238514409,0.00891230221575553
"SNRK",-0.9089420834345,3.94191740689796,-4.73551752785535,0.000337795759064921,0.0220153954787098,0.370697171471312,0.0216116291632427
"CDK2",-0.880833437647585,7.92687936420943,-4.69979031751584,0.000361062508897751,0.0226075806009838,0.305724901528619,0.0216116291632427
"STK32A",-1.2668494796857,6.36257603927417,-4.69659789089007,0.000363220658205759,0.0226631910688174,0.299911896079817,0.0216116291632427
"PRKCE",-1.0870059131003,4.84126226412117,-4.45518152830127,0.000571988167270534,0.0308372472656878,-0.143014192173831,0.0302518186245304
"PTK2",-0.390163274053349,7.90511984931292,-3.83593098844711,0.00188387586548877,0.0686407097705582,-1.30344672566336,0.083007604249672
"PDK4",-2.23792732994738,0.567913413518173,-3.82666447058252,0.00191824295534956,0.0694341694487078,-1.32099785647861,0.083007604249672
"DDR2",0.591309858056475,7.44569077030034,3.75731032867814,0.00219655299485508,0.0750909735501703,-1.45245841079254,0.0871299354625849
"TRIB2",-0.417032120794191,8.92627749801523,-3.61364185665203,0.0029107335387433,0.08774277360712,-1.72519363711263,0.106577628033985
"KDR",0.942778162008777,-1.89929121197447,3.45271610794049,0.0039940161106321,0.105950189623313,-2.0308945880427,0.122507405163484
"MLKL",0.767527506420767,2.85176832424816,3.42414307986324,0.00422515573876416,0.110230854032524,-2.08514720930904,0.122507405163484
"HIPK3",-0.535344532729785,6.24806088575075,-3.36626839369454,0.00473536265256093,0.117733950601069,-2.19497618058699,0.122507405163484
"STKLD1",-1.43798835241704,1.0703835485435,-3.3651023095013,0.00474625474207699,0.117798214008851,-2.19718805683626,0.122507405163484
"PRKG1",1.26718217250853,2.89197781569746,3.3551993996482,0.00483977434426796,0.11866439892571,-2.21597046740013,0.122507405163484
"LIMK2",-0.605288698968034,5.26825406419652,-3.34995972785839,0.00489000146660964,0.119210486573291,-2.22590695251199,0.122507405163484
"ABR",0.467083186987269,7.42818989250548,3.31222132727177,0.00526753297357218,0.123320100331994,-2.29744316281785,0.125367284771018
"DCLK1",0.86570651543042,3.45239911730768,3.23233247066723,0.006165778629319,0.136681142410183,-2.4486637355847,0.129766998981698
"PXK",0.461317005098656,6.04948191263284,3.22701561777785,0.00623072635856698,0.137608059243351,-2.45871571007739,0.129766998981698
"RPS6KA2",1.21954705417027,5.0360439591619,3.22380674941745,0.00627025415247699,0.137656717274561,-2.46478153529189,0.129766998981698
"LIMK1",0.431177512048376,5.41468352631369,3.19568490254898,0.00662755009739581,0.142320856182946,-2.51791360583907,0.131446410265017
"CSNK1D",0.54983790747955,7.95506469848411,3.13567298086945,0.00745931430363703,0.15060664760476,-2.63111486925192,0.142025344341249
"GRK7",-1.52236813267885,-1.12913116695245,-3.08027327603746,0.00831898005013141,0.157927871270846,-2.73536236909749,0.152301327071637
"MAPK12",0.512297194935666,4.72830250504048,3.05766121179372,0.00869750036770446,0.159023457030416,-2.7778332054118,0.153333710186197
"GRK5",0.692259995884004,3.60919878448894,2.99972934898147,0.00974691313193449,0.168703845624996,-2.8864095272596,0.165697523242886
"CDKL1",-0.918936550968503,3.77736338069191,-2.98135210072666,0.0101052782078272,0.172563339348016,-2.92077665021194,0.16586594575606
"CDKL3",-0.722111134946787,2.47803042904319,-2.93816368305501,0.010999492355419,0.180244206687284,-3.00138664475854,0.173303216186754
"TGFBR1",0.761525940284142,7.41477123512715,2.92503131847516,0.0112865539953558,0.182266502736871,-3.02585209443676,0.173303216186754
