chrom	start	end	width	strand	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
chr1	112032193	112032801	609	*	102.95912	2.6735670	0.28000382	9.548323	1.318123e-21	6.084719e-17
chr2	218770056	218770946	891	*	680.23285	0.6773967	0.09082653	7.458137	8.775471e-14	3.682666e-10
chr20	33893356	33894004	649	*	216.43495	-1.1309187	0.15660621	-7.221416	5.144891e-13	1.484365e-09
chr6	35695408	35696295	888	*	47.31442	2.6181967	0.37254367	7.027892	2.096771e-12	4.839556e-09
chr11	73362985	73364099	1115	*	582.58132	0.7342305	0.12255750	5.990906	2.086748e-09	2.094097e-06
chr19	14945880	14946398	519	*	33.68990	2.5039807	0.42040032	5.956182	2.581989e-09	2.483121e-06
chr2	218768613	218769009	397	*	142.90808	1.1761481	0.20218088	5.817306	5.980343e-09	5.112307e-06
chr17	2277853	2279255	1403	*	314.16595	0.8460312	0.15370805	5.504143	3.709673e-08	2.167670e-05
chr11	85430050	85430696	647	*	58.82864	-1.5815871	0.31109646	-5.083912	3.697388e-07	1.387633e-04
chrY	10037739	10037916	178	*	505.43256	-0.7233744	0.14279940	-5.065669	4.069696e-07	1.490994e-04
chr2	73867586	73868404	819	*	62.54381	1.8001304	0.36342634	4.953219	7.299557e-07	2.307960e-04
chr2	238499502	238500629	1128	*	187.98040	0.9050672	0.18497610	4.892887	9.936727e-07	2.882363e-04
chr21	30517657	30518340	684	*	57.27116	-1.4856333	0.30369704	-4.891827	9.990427e-07	2.882363e-04
chr2	88382198	88382922	725	*	104.63010	1.1963271	0.24621016	4.858967	1.179996e-06	3.281384e-04
chr1	210612227	210612996	770	*	122.90778	-1.0114946	0.22358039	-4.524075	6.066007e-06	1.155063e-03
chr20	48883245	48884524	1280	*	169.24200	0.9018259	0.20087064	4.489585	7.136193e-06	1.302059e-03
chr7	45146864	45147440	577	*	113.52129	1.8989130	0.43215412	4.394064	1.112509e-05	1.826551e-03
chr6	35656327	35657092	766	*	43.03787	1.5580512	0.35783611	4.354092	1.336199e-05	2.126952e-03
chr13	111522336	111523062	727	*	74.81979	-1.3211909	0.30394901	-4.346752	1.381684e-05	2.191797e-03
chr7	29519103	29519895	793	*	77.39316	1.2602884	0.29171353	4.320295	1.558211e-05	2.397671e-03
chr7	158611053	158611788	736	*	155.92048	-0.8158356	0.19149823	-4.260277	2.041733e-05	2.924299e-03
chr3	189840017	189840606	590	*	19.88711	-2.3550094	0.55284594	-4.259793	2.046160e-05	2.924299e-03
